0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:09 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:09 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:11 -0500] "OPTIONS /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:11 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:11 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:17 -0500] "OPTIONS /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:17 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:17 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:17 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:22 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:22 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:24 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:24 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:24 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:27 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:27 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:30 -0500] "OPTIONS /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:30 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:30 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:30 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:32 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:53 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:17:53 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:18:08 -0500] "OPTIONS /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:18:09 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:18:09 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:18:09 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:18:18 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:18:18 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:03 -0500] "OPTIONS /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:03 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:03 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:03 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:08 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:13 -0500] "OPTIONS /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:14 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:14 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:14 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:28 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:28 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:28 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:31 -0500] "OPTIONS /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:31 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:31 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:55 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:19:55 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:20:00 -0500] "OPTIONS /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:20:01 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:20:01 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:20:01 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:21:15 -0500] "OPTIONS /project1/logout HTTP/1.1" 200 -
